timestamp,src_ip,username,method,url,status,user_agent,payload,attack_type
2026-01-05 15:34:51.262796,192.168.1.15,,POST,/products,200,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,,normal
2026-01-06 00:14:15.262796,172.16.0.3,,GET,/robots.txt,404,Go-http-client/1.1,,bot_traffic
2026-01-05 20:25:18.262796,10.0.0.9,user,POST,/login,401,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,username=user&password=password,brute_force
2026-01-05 20:48:37.262796,10.0.0.9,user,POST,/login,401,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,username=user&password=test,brute_force
2026-01-05 23:44:42.262796,10.0.0.12,,POST,/api/submit,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,<img src=x onerror=alert('XSS')>,xss
2026-01-04 04:24:22.262796,192.168.1.20,eve,DELETE,/home,201,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,,normal
2026-01-04 11:50:28.262796,192.168.1.21,grace,GET,/products,201,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,,normal
2026-01-04 21:03:16.262796,192.168.1.32,alice,PUT,/api/data,201,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,,normal
2026-01-05 21:16:43.262796,10.0.0.3,admin,POST,/login,401,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,username=test&password=qwerty,credential_stuffing
2026-01-05 06:27:59.262796,192.168.1.36,grace,PUT,/api/data,404,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,"{""key"": ""value""}",normal
2026-01-05 20:51:04.262796,10.0.0.9,user,POST,/login,401,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,username=user&password=password,brute_force
2026-01-04 11:31:41.262796,192.168.1.6,diana,DELETE,/about,201,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,,normal
2026-01-05 09:37:32.262796,192.168.1.38,bob,DELETE,/contact,500,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,,normal
